period,account,cost_center,actual,budget,prior
2025-10,Revenue,Enterprise NA,12415000,13210000,12162000
2025-10,Revenue,SMB EMEA,4695000,5060000,4532000
2025-10,Revenue,APAC Channel,3535000,3410000,3322000
2025-10,COGS,Cloud Hosting,3865000,4110000,3992000
2025-10,COGS,Support Delivery,995000,940000,922000
2025-10,Opex,Sales,2795000,2510000,2402000
2025-10,Opex,Marketing,995000,1210000,1112000
2025-10,Opex,R&D,2325000,2210000,2062000
2025-10,Opex,G&A,1465000,1510000,1422000
2025-10,Headcount,Product Team,414,402,380
2025-10,Headcount,Sales Team,367,342,333
2025-10,Headcount,Support Team,190,182,177
2025-10,Utilization,Delivery Team,0.75,0.79,0.74
2025-10,Margin,Gross Margin %,0.62,0.66,0.64
2025-10,Opex,Travel and Events,225000,290000,257000
2025-10,Revenue,Strategic Accounts,6115000,6510000,5932000
2025-10,COGS,Software Licenses,435000,400000,414000
2025-10,Opex,Contractors,775000,710000,692000
2025-10,Opex,Facilities,325000,335000,317000
2025-10,Revenue,Services,2765000,2610000,2492000
2025-11,Revenue,Enterprise NA,12430000,13220000,12174000
2025-11,Revenue,SMB EMEA,4710000,5070000,4544000
2025-11,Revenue,APAC Channel,3550000,3420000,3334000
2025-11,COGS,Cloud Hosting,3880000,4120000,4004000
2025-11,COGS,Support Delivery,1010000,950000,934000
2025-11,Opex,Sales,2810000,2520000,2414000
2025-11,Opex,Marketing,1010000,1220000,1124000
2025-11,Opex,R&D,2340000,2220000,2074000
2025-11,Opex,G&A,1480000,1520000,1434000
2025-11,Headcount,Product Team,416,404,382
2025-11,Headcount,Sales Team,369,344,335
2025-11,Headcount,Support Team,192,184,179
2025-11,Utilization,Delivery Team,0.74,0.79,0.74
2025-11,Margin,Gross Margin %,0.61,0.66,0.64
2025-11,Opex,Travel and Events,240000,300000,269000
2025-11,Revenue,Strategic Accounts,6130000,6520000,5944000
2025-11,COGS,Software Licenses,450000,410000,426000
2025-11,Opex,Contractors,790000,720000,704000
2025-11,Opex,Facilities,340000,345000,329000
2025-11,Revenue,Services,2780000,2620000,2504000
2025-12,Revenue,Enterprise NA,12445000,13230000,12186000
2025-12,Revenue,SMB EMEA,4725000,5080000,4556000
2025-12,Revenue,APAC Channel,3565000,3430000,3346000
2025-12,COGS,Cloud Hosting,3895000,4130000,4016000
2025-12,COGS,Support Delivery,1025000,960000,946000
2025-12,Opex,Sales,2825000,2530000,2426000
2025-12,Opex,Marketing,1025000,1230000,1136000
2025-12,Opex,R&D,2355000,2230000,2086000
2025-12,Opex,G&A,1495000,1530000,1446000
2025-12,Headcount,Product Team,418,406,384
2025-12,Headcount,Sales Team,371,346,337
2025-12,Headcount,Support Team,194,186,181
2025-12,Utilization,Delivery Team,0.73,0.79,0.74
2025-12,Margin,Gross Margin %,0.60,0.66,0.64
2025-12,Opex,Travel and Events,255000,310000,281000
2025-12,Revenue,Strategic Accounts,6145000,6530000,5956000
2025-12,COGS,Software Licenses,465000,420000,438000
2025-12,Opex,Contractors,805000,730000,716000
2025-12,Opex,Facilities,355000,355000,341000
2025-12,Revenue,Services,2795000,2630000,2516000
2026-01,Revenue,Enterprise NA,12460000,13240000,12198000
2026-01,Revenue,SMB EMEA,4740000,5090000,4568000
2026-01,Revenue,APAC Channel,3580000,3440000,3358000
2026-01,COGS,Cloud Hosting,3910000,4140000,4028000
2026-01,COGS,Support Delivery,1040000,970000,958000
2026-01,Opex,Sales,2840000,2540000,2438000
2026-01,Opex,Marketing,1040000,1240000,1148000
2026-01,Opex,R&D,2370000,2240000,2098000
2026-01,Opex,G&A,1510000,1540000,1458000
2026-01,Headcount,Product Team,420,408,386
2026-01,Headcount,Sales Team,373,348,339
2026-01,Headcount,Support Team,196,188,183
2026-01,Utilization,Delivery Team,0.72,0.79,0.74
2026-01,Margin,Gross Margin %,0.59,0.66,0.64
2026-01,Opex,Travel and Events,270000,320000,293000
2026-01,Revenue,Strategic Accounts,6160000,6540000,5968000
2026-01,COGS,Software Licenses,480000,430000,450000
2026-01,Opex,Contractors,820000,740000,728000
2026-01,Opex,Facilities,370000,365000,353000
2026-01,Revenue,Services,2810000,2640000,2528000
2026-02,Revenue,Enterprise NA,12475000,13250000,12210000
2026-02,Revenue,SMB EMEA,4755000,5100000,4580000
2026-02,Revenue,APAC Channel,3595000,3450000,3370000
2026-02,COGS,Cloud Hosting,3925000,4150000,4040000
2026-02,COGS,Support Delivery,1055000,980000,970000
2026-02,Opex,Sales,2855000,2550000,2450000
2026-02,Opex,Marketing,1055000,1250000,1160000
2026-02,Opex,R&D,2385000,2250000,2110000
2026-02,Opex,G&A,1525000,1550000,1470000
2026-02,Headcount,Product Team,422,410,388
2026-02,Headcount,Sales Team,375,350,341
2026-02,Headcount,Support Team,198,190,185
2026-02,Utilization,Delivery Team,0.71,0.79,0.74
2026-02,Margin,Gross Margin %,0.58,0.66,0.64
2026-02,Opex,Travel and Events,285000,330000,305000
2026-02,Revenue,Strategic Accounts,6175000,6550000,5980000
2026-02,COGS,Software Licenses,495000,440000,462000
2026-02,Opex,Contractors,835000,750000,740000
2026-02,Opex,Facilities,385000,375000,365000
2026-02,Revenue,Services,2825000,2650000,2540000
